SCA,SCAx,SCAy,Field X,Field Y
6,2.56,-12.8,-0.2103,-0.2503
6,7.68,-12.8,-0.2254,-0.2502
6,12.8,-12.8,-0.2408,-0.2499
6,17.92,-12.8,-0.2561,-0.2498
6,-17.92,-7.68,-0.1488,-0.2365
6,-12.8,-7.68,-0.1643,-0.2364
6,-7.68,-7.68,-0.1797,-0.2361
6,-2.56,-7.68,-0.195,-0.236
6,2.56,-7.68,-0.2103,-0.2358
6,7.68,-7.68,-0.2257,-0.2356
6,12.8,-7.68,-0.241,-0.2354
6,17.92,-7.68,-0.2565,-0.235
6,-17.92,-2.56,-0.149,-0.2218
6,-12.8,-2.56,-0.1644,-0.2216
6,-7.68,-2.56,-0.1799,-0.2215
6,-2.56,-2.56,-0.1952,-0.2213
6,2.56,-2.56,-0.2106,-0.2211
6,7.68,-2.56,-0.2261,-0.2209
6,12.8,-2.56,-0.2413,-0.2207
6,17.92,-2.56,-0.2566,-0.2204
6,-17.92,2.56,-0.1492,-0.2071
6,-12.8,2.56,-0.1648,-0.2069
6,-7.68,2.56,-0.1801,-0.2068
6,-2.56,2.56,-0.1954,-0.2066
6,2.56,2.56,-0.2108,-0.2064
6,7.68,2.56,-0.2261,-0.2062
6,12.8,2.56,-0.2414,-0.206
6,17.92,2.56,-0.2569,-0.2057
6,-17.92,7.68,-0.1494,-0.1924
6,-12.8,7.68,-0.1647,-0.1922
6,-7.68,7.68,-0.1802,-0.192
6,-2.56,7.68,-0.1955,-0.1918
6,2.56,7.68,-0.2111,-0.1915
6,7.68,7.68,-0.2265,-0.1914
6,12.8,7.68,-0.2418,-0.1912
6,17.92,7.68,-0.2573,-0.1908
6,-17.92,12.8,-0.1495,-0.1775
6,-12.8,12.8,-0.1649,-0.1774
6,-7.68,12.8,-0.1803,-0.1771
6,-2.56,12.8,-0.1959,-0.1769
6,2.56,12.8,-0.2114,-0.1768
6,7.68,12.8,-0.2267,-0.1766
6,12.8,12.8,-0.2422,-0.1764
6,17.92,12.8,-0.2575,-0.1761
6,-17.92,17.92,-0.1497,-0.1626
6,-12.8,17.92,-0.1651,-0.1624
6,-7.68,17.92,-0.1806,-0.1623
6,-2.56,17.92,-0.1961,-0.1621
6,2.56,17.92,-0.2113,-0.162
6,7.68,17.92,-0.2267,-0.1616
6,12.8,17.92,-0.2422,-0.1616
6,17.92,17.92,-0.2577,-0.1612
7,-17.92,-17.92,-0.2838,0.0736
7,-12.8,-17.92,-0.2993,0.0738
7,-7.68,-17.92,-0.3147,0.074
7,-2.56,-17.92,-0.3303,0.0742
7,2.56,-17.92,-0.3457,0.0744
7,7.68,-17.92,-0.3611,0.0746
7,12.8,-17.92,-0.3766,0.0748
7,17.92,-17.92,-0.392,0.0751
7,-17.92,-12.8,-0.284,0.0891
7,-12.8,-12.8,-0.2994,0.0892
7,-7.68,-12.8,-0.315,0.0894
