,Target,ArchiveTarget,description,category,RA,DEC,WFIPA_off,V3PA_off,V3PA_ori,CAR,Region,Target_Source,RA_Source,Dec_Source,MPA_ThetaX,MPA_ThetaY,N_FRAME,N_EXP,N_FILT,Filter,MA Table,Resultant
72,SCAN_DRAGON1_073,SCAN_DRAGON1_073,Stray light test,Calibration,96.04035347038379,-52.6280999779465,92.31407435876193,152.31407435876193,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0688,-0.029,55,4,1,F158,IM_193_11,11
73,SCAN_DRAGON2_074,SCAN_DRAGON2_074,Stray light test,Calibration,96.00266328316565,-52.56351622876415,92.34404847688592,152.34404847688592,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.1324,-0.0035,55,4,1,F158,IM_193_11,11
74,SCAN_DRAGON2_075,SCAN_DRAGON2_075,Stray light test,Calibration,95.9949625798202,-52.56052200265998,92.35018057326076,152.35018057326076,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.1352,0.0013,55,4,1,F158,IM_193_11,11
75,SCAN_DRAGON2_076,SCAN_DRAGON2_076,Stray light test,Calibration,95.99534024871362,-52.55492671192384,92.34987434264812,152.34987434264812,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.1408,0.0013,55,4,1,F158,IM_193_11,11
76,SCAN_DRAGON2_077,SCAN_DRAGON2_077,Stray light test,Calibration,96.00341660837266,-52.55232559603841,92.34343831572818,152.34343831572818,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.1436,-0.0035,55,4,1,F158,IM_193_11,11
77,SCAN_DRAGON2_078,SCAN_DRAGON2_078,Stray light test,Calibration,96.0111164482549,-52.55531927063465,92.33730687090974,152.33730687090974,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.1408,-0.0083,55,4,1,F158,IM_193_11,11
78,SCAN_DRAGON2_079,SCAN_DRAGON2_079,Stray light test,Calibration,96.01074079204267,-52.56091461250006,92.33761080136566,152.33761080136566,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.1352,-0.0083,55,4,1,F158,IM_193_11,11
79,SCAN_DRAGON2_080,SCAN_DRAGON2_080,Stray light test,Calibration,96.00266328316565,-52.56351622876415,92.34404847688592,152.34404847688592,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.1324,-0.0035,55,4,1,F158,IM_193_11,11
80,NEGATIVE_GAP_1_081,NEGATIVE_GAP_1_081,Stray light test,Calibration,96.27309950041145,-52.76897169757466,92.1283824701913,152.1283824701913,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,0.0665,-0.1754,55,4,1,F158,IM_193_11,11
81,NEGATIVE_GAP_2_082,NEGATIVE_GAP_2_082,Stray light test,Calibration,96.28123867329403,-52.63606322696385,92.12192528807486,152.12192528807486,152.35596676538606,171.2,Outer stray,Canopus,95.98795782918306,-52.69566138386201,-0.0665,-0.1754,55,4,1,F158,IM_193_11,11
