,SCA,xmid,ymid,ramid,decmid,xmin,ymin,xmax,ymax,straylight_total,mainoffender_total
32,4,2299,255,56.42700161225325,24.186761658531296,2044,0,2555,511,4.673025e+06,1.0
33,4,2299,766,56.426830437341394,24.20215566600681,2044,511,2555,1022,4.553741e+06,1.0
34,4,2299,1277,56.42665922102078,24.217549678829204,2044,1022,2555,1533,4.5869675e+06,1.0
35,4,2299,1788,56.42648796327638,24.23294369477557,2044,1533,2555,2044,4.532173e+06,1.0
36,4,2299,2299,56.42631666409316,24.248337711623023,2044,2044,2555,2555,4.5018525e+06,1.0
37,4,2299,2810,56.426145323456105,24.263731727148624,2044,2555,2555,3066,4.344845e+06,1.0
38,4,2299,3321,56.425973941350136,24.2791257391295,2044,3066,2555,3577,4.365714e+06,1.0
39,4,2299,3832,56.425802517760225,24.294519745342736,2044,3577,2555,4088,4.1792862e+06,1.0
40,4,2810,255,56.409902767838226,24.186860857535926,2555,0,3066,511,4.5349325e+06,1.0
41,4,2810,766,56.40972952487906,24.202254844734323,2555,511,3066,1022,4.4781815e+06,1.0
42,4,2810,1277,56.40955624001113,24.217648837237647,2555,1022,3066,1533,4.4155245e+06,1.0
43,4,2810,1788,56.40938291321926,24.233042832823013,2555,1533,3066,2044,4.4163965e+06,1.0
44,4,2810,2299,56.40920954448819,24.248436829267487,2555,2044,3066,2555,4.239221e+06,1.0
45,4,2810,2810,56.40903613380275,24.26383082434816,2555,2555,3066,3066,4.405606e+06,1.0
46,4,2810,3321,56.40886268114767,24.279224815842145,2555,3066,3066,3577,4.2161145e+06,1.0
47,4,2810,3832,56.408689186507736,24.29461880152652,2555,3577,3066,4088,4.1800902e+06,1.0
48,4,3321,255,56.392803900742734,24.186958149351785,3066,0,3577,511,4.51988e+06,1.0
49,4,3321,766,56.392628589761635,24.202352114900826,3066,511,3577,1022,4.533662e+06,1.0
50,4,3321,1277,56.3924532363718,24.217746085712793,3066,1022,3577,1533,4.4790485e+06,1.0
51,4,3321,1788,56.39227784055786,24.233140059564768,3066,1533,3577,2044,4.4135215e+06,1.0
52,4,3321,2299,56.39210240230438,24.24853403423385,3066,2044,3577,2555,4.3009765e+06,1.0
53,4,3321,2810,56.391926921596024,24.26392800749711,3066,2555,3577,3066,4.1650945e+06,1.0
54,4,3321,3321,56.39175139841732,24.279321977131655,3066,3066,3577,3577,4.256142e+06,1.0
55,4,3321,3832,56.39157583275288,24.29471594091459,3066,3577,3577,4088,4.1571598e+06,1.0
56,4,3832,255,56.37570501401241,24.18705353395451,3577,0,4088,511,4.4702085e+06,1.0
57,4,3832,766,56.37552763503588,24.202447476481986,3577,511,4088,1022,4.454704e+06,1.0
58,4,3832,1277,56.375350213150654,24.21784142423029,3577,1022,4088,1533,4.4565985e+06,1.0
59,4,3832,1788,56.37517274834118,24.23323537497653,3577,1533,4088,2044,4.3970235e+06,1.0
60,4,3832,2299,56.37499524059187,24.2486293264978,3577,2044,4088,2555,4.3049825e+06,1.0
61,4,3832,2810,56.37481768988712,24.264023276571198,3577,2555,4088,3066,4.1504435e+06,1.0
62,4,3832,3321,56.37464009621138,24.2794172229738,3577,3066,4088,3577,4.1141918e+06,1.0
63,4,3832,3832,56.37446245954903,24.294811163482716,3577,3577,4088,4088,4.1611292e+06,1.0
0,5,255,255,56.49524518746326,24.040631632461118,0,0,511,511,4.7746105e+06,1.0
1,5,255,766,56.49503780263613,24.055708054266933,0,511,511,1022,4.7171195e+06,1.0
2,5,255,1277,56.49483036900981,24.070784481180674,0,1022,511,1533,4.877393e+06,1.0
3,5,255,1788,56.49462288656712,24.08586091111397,0,1533,511,2044,4.799859e+06,1.0
4,5,255,2299,56.4944153552908,24.100937341978465,0,2044,511,2555,4.819295e+06,1.0
5,5,255,2810,56.49420777516362,24.11601377168584,0,2555,511,3066,4.7877345e+06,1.0
6,5,255,3321,56.49400014616834,24.131090198147703,0,3066,511,3577,4.914596e+06,1.0
7,5,255,3832,56.4937924682877,24.146166619275736,0,3577,511,4088,4.8336225e+06,1.0
8,5,766,255,56.47828526079257,24.04078103315267,511,0,1022,511,4.5975305e+06,1.0
9,5,766,766,56.47807588052102,24.055857435411834,511,511,1022,1022,4.772598e+06,1.0
10,5,766,1277,56.477866450981146,24.070933842725736,511,1022,1022,1533,4.683613e+06,1.0
11,5,766,1788,56.47765697215553,24.086010253006034,511,1533,1022,2044,4.94604e+06,1.0
12,5,766,2299,56.47744744402684,24.101086664164367,511,2044,1022,2555,4.8172425e+06,1.0
13,5,766,2810,56.477237866577596,24.116163074112364,511,2555,1022,3066,4.8808615e+06,1.0
14,5,766,3321,56.47702823979045,24.1312394807617,511,3066,1022,3577,4.9700085e+06,1.0
15,5,766,3832,56.47681856364793,24.146315882023977,511,3577,1022,4088,4.852138e+06,1.0
16,5,1277,255,56.46132528852812,24.04092856611979,1022,0,1533,511,4.5890575e+06,1.0
17,5,1277,766,56.46111391283813,24.056004947509805,1022,511,1533,1022,4.601486e+06,1.0
18,5,1277,1277,56.46090248741067,24.071081333901354,1022,1022,1533,1533,4.612031e+06,1.0
19,5,1277,1788,56.460691012228175,24.08615772320606,1022,1533,1533,2044,4.76939e+06,1.0
20,5,1277,2299,56.46047948727312,24.101234113335572,1022,2044,1533,2555,4.8666825e+06,1.0
21,5,1277,2810,56.460267912527904,24.116310502201532,1022,2555,1533,3066,4.734224e+06,1.0
22,5,1277,3321,56.46005628797496,24.13138688771556,1022,3066,1533,3577,4.6717495e+06,1.0
